Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
2025-06-09;Hors Vacances;Hors Vacances;Hors Vacances;;1749427200
2025-06-15;Hors Vacances;Hors Vacances;Hors Vacances;;1749945600
2025-07-18;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1752796800
2025-08-05;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1754352000
2025-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;1757376000
2025-09-25;Hors Vacances;Hors Vacances;Hors Vacances;;1758758400
2025-11-01;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1761955200
2025-11-10;Hors Vacances;Hors Vacances;Hors Vacances;;1762732800
2025-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;1764028800
2026-01-02;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1767312000
2026-02-06;Hors Vacances;Hors Vacances;Hors Vacances;;1770336000
2026-02-28;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1772236800
2026-03-10;Hors Vacances;Hors Vacances;Hors Vacances;;1773100800
2026-05-17;Hors Vacances;Hors Vacances;Hors Vacances;;1778976000
2026-06-23;Hors Vacances;Hors Vacances;Hors Vacances;;1782172800
2026-07-28;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1785196800
2026-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1785715200
2026-08-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1787443200
2026-09-29;Hors Vacances;Hors Vacances;Hors Vacances;;1790640000
2026-10-31;Hors Vacances;Hors Vacances;Hors Vacances;;1793404800
1999-08-20;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;935107200
1999-11-22;Hors Vacances;Hors Vacances;Hors Vacances;;943228800
2000-01-21;Hors Vacances;Hors Vacances;Hors Vacances;;948412800
2000-02-08;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;949968000
2000-03-01;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;951868800
2000-03-13;Hors Vacances;Hors Vacances;Hors Vacances;;952905600
2000-03-29;Hors Vacances;Hors Vacances;Hors Vacances;;954288000
2000-04-23;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;956448000
2000-06-02;Hors Vacances;Hors Vacances;Hors Vacances;;959904000
2000-06-19;Hors Vacances;Hors Vacances;Hors Vacances;;961372800
2000-06-22;Hors Vacances;Hors Vacances;Hors Vacances;;961632000
2000-09-14;Hors Vacances;Hors Vacances;Hors Vacances;;968889600
2000-09-25;Hors Vacances;Hors Vacances;Hors Vacances;;969840000
2000-11-09;Hors Vacances;Hors Vacances;Hors Vacances;;973728000
2001-05-04;Hors Vacances;Hors Vacances;Hors Vacances;;988934400
2001-05-27;Hors Vacances;Hors Vacances;Hors Vacances;;990921600
2001-06-16;Hors Vacances;Hors Vacances;Hors Vacances;;992649600
2001-08-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;998352000
2001-09-24;Hors Vacances;Hors Vacances;Hors Vacances;;1001289600
2001-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;1001808000
2001-10-03;Hors Vacances;Hors Vacances;Hors Vacances;;1002067200
2001-10-09;Hors Vacances;Hors Vacances;Hors Vacances;;1002585600
2001-10-25;Hors Vacances;Hors Vacances;Hors Vacances;;1003968000
2001-10-30;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1004400000
2001-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;1005177600
2001-11-24;Hors Vacances;Hors Vacances;Hors Vacances;;1006560000
2001-12-02;Hors Vacances;Hors Vacances;Hors Vacances;;1007251200
2001-12-20;Hors Vacances;Hors Vacances;Hors Vacances;;1008806400
2001-12-21;Hors Vacances;Hors Vacances;Hors Vacances;;1008892800
2002-01-01;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1009843200
2002-02-13;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1013558400
2002-03-02;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1015027200
2002-03-24;Hors Vacances;Hors Vacances;Hors Vacances;;1016928000
2002-04-22;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1019433600
2002-04-25;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1019692800
2002-04-30;Hors Vacances;Hors Vacances;Hors Vacances;;1020124800
2002-05-07;Hors Vacances;Hors Vacances;Hors Vacances;;1020729600
2002-06-03;Hors Vacances;Hors Vacances;Hors Vacances;;1023062400
2002-06-23;Hors Vacances;Hors Vacances;Hors Vacances;;1024790400
2002-06-30;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1025395200
2002-07-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1026604800
2002-08-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1028764800
2002-09-07;Hors Vacances;Hors Vacances;Hors Vacances;;1031356800
2002-09-16;Hors Vacances;Hors Vacances;Hors Vacances;;1032134400
2002-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1034640000
2002-10-25;Hors Vacances;Hors Vacances;Hors Vacances;;1035504000
2002-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;1036972800
2002-11-14;Hors Vacances;Hors Vacances;Hors Vacances;;1037232000
2002-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;1038182400
2002-12-25;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1040774400
2002-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1040860800
2002-12-30;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1041206400
2003-02-18;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1045526400
2003-03-12;Hors Vacances;Hors Vacances;Hors Vacances;;1047427200
2003-03-13;Hors Vacances;Hors Vacances;Hors Vacances;;1047513600
2003-03-24;Hors Vacances;Hors Vacances;Hors Vacances;;1048464000
2003-04-08;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1049760000
2003-06-12;Hors Vacances;Hors Vacances;Hors Vacances;;1055376000
2003-07-10;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1057795200
2003-07-29;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1059436800
2003-10-26;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1067126400
