stop_name,destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 05:46:26,2024-11-03 05:46:26,Paris 6e,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 05:49:27,2024-11-03 05:49:27,Paris 6e,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 05:53:08,2024-11-03 05:53:08,Paris 6e,9.85,0.0,0.0,0.0,8.65,16.56,21120.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 06:31:38,2024-11-03 06:31:38,Paris 6e,9.7,0.0,0.0,0.0,8.89,18.36,17740.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 06:32:01,2024-11-03 06:32:01,Paris 6e,9.7,0.0,0.0,0.0,8.89,18.36,17740.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Porte de Clignancourt,delayed,2024-11-03 06:36:38,2024-11-03 06:36:38,Paris 6e,9.7,0.0,0.0,0.0,8.89,18.36,17740.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 06:37:08,2024-11-03 06:37:08,Paris 6e,9.7,0.0,0.0,0.0,8.89,18.36,17740.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 06:37:08,2024-11-03 06:37:08,Paris 6e,9.7,0.0,0.0,0.0,8.89,18.36,17740.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 06:42:18,2024-11-03 06:42:18,Paris 6e,9.6,0.0,0.0,0.0,8.89,19.08,16060.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 06:42:38,2024-11-03 06:42:38,Paris 6e,9.6,0.0,0.0,0.0,8.89,19.08,16060.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 06:44:48,2024-11-03 06:44:48,Paris 6e,9.6,0.0,0.0,0.0,8.89,19.08,16060.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 06:47:08,2024-11-03 06:47:08,Paris 6e,9.6,0.0,0.0,0.0,8.89,19.08,16060.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.34
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 07:27:53,2024-11-03 07:27:53,Paris 6e,9.7,0.0,0.0,0.0,7.34,18.72,15520.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 07:32:10,2024-11-03 07:32:10,Paris 6e,9.7,0.0,0.0,0.0,7.34,18.72,15520.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 07:32:40,2024-11-03 07:32:40,Paris 6e,9.7,0.0,0.0,0.0,7.34,18.72,15520.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 07:36:30,2024-11-03 07:36:30,Paris 6e,9.7,0.0,0.0,0.0,7.34,18.72,15520.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 07:37:01,2024-11-03 07:37:01,Paris 6e,9.7,0.0,0.0,0.0,7.34,18.72,15520.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 07:39:18,2024-11-03 07:39:18,Paris 6e,9.8,0.0,0.0,0.0,6.49,18.0,16100.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 07:41:21,2024-11-03 07:41:21,Paris 6e,9.8,0.0,0.0,0.0,6.49,18.0,16100.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 07:43:30,2024-11-03 07:43:30,Paris 6e,9.8,0.0,0.0,0.0,6.49,18.0,16100.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.41
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 08:32:13,2024-11-03 08:32:13,Paris 6e,9.85,0.0,0.0,0.0,7.93,17.64,18540.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 08:33:03,2024-11-03 08:33:03,Paris 6e,9.85,0.0,0.0,0.0,7.93,17.64,18540.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 08:35:53,2024-11-03 08:35:53,Paris 6e,9.85,0.0,0.0,0.0,7.93,17.64,18540.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 08:36:43,2024-11-03 08:36:43,Paris 6e,9.85,0.0,0.0,0.0,7.93,17.64,18540.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 08:38:19,2024-11-03 08:38:19,Paris 6e,9.8,0.0,0.0,0.0,9.03,17.64,19460.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 08:40:16,2024-11-03 08:40:16,Paris 6e,9.8,0.0,0.0,0.0,9.03,17.64,19460.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 08:42:19,2024-11-03 08:42:19,Paris 6e,9.8,0.0,0.0,0.0,9.03,17.64,19460.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.61
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 09:28:47,2024-11-03 09:28:47,Paris 6e,10.05,0.0,0.0,0.0,10.04,18.72,21840.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 09:30:58,2024-11-03 09:30:58,Paris 6e,10.05,0.0,0.0,0.0,10.04,18.72,21840.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 09:33:09,2024-11-03 09:33:09,Paris 6e,10.05,0.0,0.0,0.0,10.04,18.72,21840.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 09:34:55,2024-11-03 09:34:55,Paris 6e,10.05,0.0,0.0,0.0,10.04,18.72,21840.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 09:37:05,2024-11-03 09:37:05,Paris 6e,10.05,0.0,0.0,0.0,10.04,18.72,21840.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 09:37:46,2024-11-03 09:37:46,Paris 6e,10.2,0.0,0.0,0.0,9.79,19.44,22560.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 09:40:45,2024-11-03 09:40:45,Paris 6e,10.2,0.0,0.0,0.0,9.79,19.44,22560.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 09:42:55,2024-11-03 09:42:55,Paris 6e,10.2,0.0,0.0,0.0,9.79,19.44,22560.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.44
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 10:28:30,2024-11-03 10:28:30,Paris 6e,10.6,0.0,0.0,0.0,9.5,19.8,25420.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 10:31:57,2024-11-03 10:31:57,Paris 6e,10.6,0.0,0.0,0.0,9.5,19.8,25420.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 10:34:28,2024-11-03 10:34:28,Paris 6e,10.6,0.0,0.0,0.0,9.5,19.8,25420.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 10:35:40,2024-11-03 10:35:40,Paris 6e,10.6,0.0,0.0,0.0,9.5,19.8,25420.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 10:37:07,2024-11-03 10:37:07,Paris 6e,10.6,0.0,0.0,0.0,9.5,19.8,25420.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 10:38:55,2024-11-03 10:38:55,Paris 6e,10.75,0.0,0.0,0.0,9.34,19.44,26480.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 10:41:18,2024-11-03 10:41:18,Paris 6e,10.75,0.0,0.0,0.0,9.34,19.44,26480.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 10:42:47,2024-11-03 10:42:47,Paris 6e,10.75,0.0,0.0,0.0,9.34,19.44,26480.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.56
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 11:31:15,2024-11-03 11:31:15,Paris 6e,10.95,0.0,0.0,0.0,8.71,19.44,24680.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 11:32:44,2024-11-03 11:32:44,Paris 6e,10.95,0.0,0.0,0.0,8.71,19.44,24680.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 11:35:50,2024-11-03 11:35:50,Paris 6e,10.95,0.0,0.0,0.0,8.71,19.44,24680.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 11:37:01,2024-11-03 11:37:01,Paris 6e,10.95,0.0,0.0,0.0,8.71,19.44,24680.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 11:40:00,2024-11-03 11:40:00,Paris 6e,10.95,0.0,0.0,0.0,8.4,19.08,23240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 11:41:50,2024-11-03 11:41:50,Paris 6e,10.95,0.0,0.0,0.0,8.4,19.08,23240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 11:43:52,2024-11-03 11:43:52,Paris 6e,10.95,0.0,0.0,0.0,8.4,19.08,23240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 11:45:38,2024-11-03 11:45:38,Paris 6e,10.95,0.0,0.0,0.0,8.4,19.08,23240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,4.0
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 12:31:02,2024-11-03 12:31:02,Paris 6e,11.1,0.0,0.0,0.0,7.9,18.36,25180.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 12:31:52,2024-11-03 12:31:52,Paris 6e,11.1,0.0,0.0,0.0,7.9,18.36,25180.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 12:34:02,2024-11-03 12:34:02,Paris 6e,11.1,0.0,0.0,0.0,7.9,18.36,25180.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 12:34:15,2024-11-03 12:34:15,Paris 6e,11.1,0.0,0.0,0.0,7.9,18.36,25180.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 12:37:26,2024-11-03 12:37:26,Paris 6e,11.1,0.0,0.0,0.0,7.9,18.36,25180.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 12:38:33,2024-11-03 12:38:33,Paris 6e,11.15,0.0,0.0,0.0,7.9,17.64,26880.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 12:40:42,2024-11-03 12:40:42,Paris 6e,11.15,0.0,0.0,0.0,7.9,17.64,26880.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 12:42:22,2024-11-03 12:42:22,Paris 6e,11.15,0.0,0.0,0.0,7.9,17.64,26880.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,5.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 13:32:04,2024-11-03 13:32:04,Paris 6e,11.45,0.0,0.0,0.0,7.75,16.92,30240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,6.12
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 13:33:54,2024-11-03 13:33:54,Paris 6e,11.45,0.0,0.0,0.0,7.75,16.92,30240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,6.12
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 13:34:34,2024-11-03 13:34:34,Paris 6e,11.45,0.0,0.0,0.0,7.75,16.92,30240.0,True,2024-11-03,6,DIJFP,0,1,0,1,1,1,6.12
